event_id,title,city,city_slug,icao,lat,lon,unit,timezone,target_date,resolved_temp,bucket_label
223347,Highest temperature in NYC on February 24?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2026-02-24,32.0,32-33
221044,Highest temperature in NYC on February 23?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2026-02-23,36.0,36+
218778,Highest temperature in NYC on February 22?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2026-02-22,34.0,34-35
216598,Highest temperature in NYC on February 21?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2026-02-21,46.0,46-47
213978,Highest temperature in NYC on February 20?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2026-02-20,38.0,38-39
212719,Highest temperature in NYC on February 19?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2026-02-19,36.0,36-37
211537,Highest temperature in NYC on February 18?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2026-02-18,38.0,38-39
210113,Highest temperature in NYC on February 17?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2026-02-17,46.0,46-47
208837,Highest temperature in NYC on February 16?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2026-02-16,38.0,38-39
207452,Highest temperature in NYC on February 15?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2026-02-15,38.0,38-39
206163,Highest temperature in NYC on February 14?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2026-02-14,44.0,44-45
204920,Highest temperature in NYC on February 13?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2026-02-13,38.0,38-39
204119,Highest temperature in NYC on February 12?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2026-02-12,36.0,36-37
203238,Highest temperature in NYC on February 11?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2026-02-11,40.0,40-41
202126,Highest temperature in NYC on February 10?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2026-02-10,36.0,36+
201204,Highest temperature in NYC on February 9?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2026-02-09,30.0,30-31
200117,Highest temperature in NYC on February 8?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2026-02-08,18.0,18-19
199155,Highest temperature in NYC on February 7?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2026-02-07,26.0,26+
198278,Highest temperature in NYC on February 6?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2026-02-06,32.0,32-33
197395,Highest temperature in NYC on February 5?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2026-02-05,32.0,32-33
196500,Highest temperature in NYC on February 4?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2026-02-04,32.0,32-33
195331,Highest temperature in NYC on February 3?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2026-02-03,32.0,32-33
194824,Highest temperature in NYC on February 1?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2026-02-01,24.0,24-25
194825,Highest temperature in NYC on February 2?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2026-02-02,35.0,35-36
192377,Highest temperature in NYC on January 31?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2026-01-31,24.0,24-25
191138,Highest temperature in NYC on January 30?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2026-01-30,18.0,18-19
190211,Highest temperature in NYC on January 29?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2026-01-29,24.0,24-25
189261,Highest temperature in NYC on January 28?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2026-01-28,24.0,24-25
187528,Highest temperature in NYC on January 27?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2026-01-27,22.0,22-23
185377,Highest temperature in NYC on January 26?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2026-01-26,26.0,26-27
182917,Highest temperature in NYC on January 25?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2026-01-25,22.0,22+
180830,Highest temperature in NYC on January 24?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2026-01-24,18.0,18-19
178714,Highest temperature in NYC on January 23?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2026-01-23,36.0,36+
176524,Highest temperature in NYC on January 22?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2026-01-22,46.0,46+
174262,Highest temperature in NYC on January 21?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2026-01-21,36.0,36+
172006,Highest temperature in NYC on January 20?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2026-01-20,24.0,24-25
169982,Highest temperature in NYC on January 19?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2026-01-19,32.0,32-33
167795,Highest temperature in NYC on January 18?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2026-01-18,34.0,34-35
165631,Highest temperature in NYC on January 17?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2026-01-17,40.0,40-41
163564,Highest temperature in NYC on January 16?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2026-01-16,34.0,34-35
161321,Highest temperature in NYC on January 15?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2026-01-15,46.0,46+
159450,Highest temperature in NYC on January 14?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2026-01-14,50.0,50-51
157101,Highest temperature in NYC on January 13?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2026-01-13,46.0,46-47
155114,Highest temperature in NYC on January 12?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2026-01-12,40.0,40-41
152971,Highest temperature in NYC on January 11?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2026-01-11,46.0,46-47
150874,Highest temperature in NYC on January 10?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2026-01-10,52.0,52-53
148960,Highest temperature in NYC on January 9?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2026-01-09,48.0,48+
146737,Highest temperature in NYC on January 8?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2026-01-08,48.0,48-49
144847,Highest temperature in NYC on January 7?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2026-01-07,48.0,48-49
142599,Highest temperature in NYC on January 6?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2026-01-06,38.0,38-39
140604,Highest temperature in NYC on January 5?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2026-01-05,34.0,34+
138475,Highest temperature in NYC on January 4?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2026-01-04,34.0,34-35
136607,Highest temperature in NYC on January 3?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2026-01-03,30.0,30-31
134725,Highest temperature in NYC on January 2?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2026-01-02,30.0,30-31
132830,Highest temperature in NYC on January 1?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2026-01-01,34.0,34+
130719,Highest temperature in NYC on December 31?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2025-12-31,32.0,32-33
128661,Highest temperature in NYC on December 30?,NYC,nyc,KLGA,40.7743,-73.8726,F,America/New_York,2025-12-30,32.0,32-33
