resolved_at,target_date,city,station_icao,bucket,side,entry_price,size_usd,ev_per_bet,spread_colour,det_spread,model_values_json,actual_temp,outcome,pnl_usd,miss_distance,signal_timestamp,strategy
2026-03-05T10:00:03.876777+00:00,2026-03-04,Ankara,LTAC,10+,BUY_YES,0.05500000000000001,5.0,0.0,,,{},10,WIN,85.9091,,2026-03-03T19:01:07.207372+00:00,SINGLE
2026-03-05T10:00:03.877275+00:00,2026-03-04,Chicago,KORD,46-47,BUY_YES,0.22000000000000003,5.0,0.0,,,{},46,WIN,17.7273,,2026-03-03T19:01:07.209958+00:00,SINGLE
2026-03-05T10:00:04.058759+00:00,2026-03-04,NYC,KLGA,46-47,BUY_YES,0.215,5.0,0.0,,,{},50,LOSS,-5.0,,2026-03-03T19:01:07.211588+00:00,SINGLE
2026-03-05T10:00:04.059026+00:00,2026-03-04,Chicago,KORD,44-45,BUY_YES,0.11000000000000001,5.0,0.0,,,{},46,LOSS,-5.0,,2026-03-03T19:01:07.213409+00:00,SINGLE
2026-03-05T10:00:04.059170+00:00,2026-03-04,Miami,KMIA,80-81,BUY_YES,0.28,10.41,0.0,,,{},81,WIN,26.7686,,2026-03-03T12:07:25.269870+00:00,TOP2_EQUAL
2026-03-05T10:00:04.059315+00:00,2026-03-04,Seattle,KSEA,48-49,BUY_YES,0.0795,5.0,0.0,,,{},52,LOSS,-5.0,,2026-03-03T12:07:25.272725+00:00,TOP2_EQUAL
2026-03-05T10:00:04.059439+00:00,2026-03-04,Seattle,KSEA,54-55,BUY_YES,0.21999999999999997,9.76,0.0,,,{},52,LOSS,-9.76,,2026-03-03T12:30:28.725883+00:00,TOP2_EQUAL
2026-03-05T10:00:04.059559+00:00,2026-03-04,Seattle,KSEA,56-57,BUY_YES,0.11000000000000001,5.0,0.0,,,{},52,LOSS,-5.0,,2026-03-03T12:30:28.727497+00:00,TOP2_EQUAL
2026-03-05T10:00:04.059664+00:00,2026-03-04,Miami,KMIA,82-83,BUY_YES,0.28500000000000003,5.04,0.0,,,{},81,LOSS,-5.04,,2026-03-03T13:00:14.191989+00:00,TOP2_EQUAL
2026-03-05T10:00:04.059787+00:00,2026-03-04,Miami,KMIA,84-85,BUY_YES,0.11499999999999999,5.0,0.0,,,{},81,LOSS,-5.0,,2026-03-03T13:00:14.198526+00:00,TOP2_EQUAL
2026-03-05T10:00:04.059896+00:00,2026-03-04,Seoul,RKSI,10+,BUY_YES,0.135,7.34,0.0,,,{},9,LOSS,-7.34,,2026-03-03T13:31:01.480187+00:00,TOP2_EQUAL
2026-03-05T10:00:04.060011+00:00,2026-03-04,NYC,KLGA,46-47,BUY_YES,0.24,5.0,0.0,,,{},50,LOSS,-5.0,,2026-03-03T18:30:18.376463+00:00,TOP2_EQUAL
2026-03-05T10:00:04.060116+00:00,2026-03-04,Chicago,KORD,50+,BUY_YES,0.20500000000000002,5.0,0.0,,,{},46,LOSS,-5.0,,2026-03-03T18:30:18.378369+00:00,TOP2_EQUAL
2026-03-05T10:00:04.060222+00:00,2026-03-04,Miami,KMIA,78-79,BUY_YES,0.15500000000000003,5.0,0.0,,,{},81,LOSS,-5.0,,2026-03-03T18:30:18.379831+00:00,TOP2_EQUAL
2026-03-05T10:00:04.060368+00:00,2026-03-04,Seattle,KSEA,52-53,BUY_YES,0.4050000000000001,5.0,0.0,,,{},52,WIN,7.3457,,2026-03-03T18:30:18.381889+00:00,TOP2_EQUAL
2026-03-05T10:00:04.060485+00:00,2026-03-04,Chicago,KORD,44-45,BUY_YES,0.11000000000000001,5.0,0.0,,,{},46,LOSS,-5.0,,2026-03-03T19:01:07.180005+00:00,TOP2_EQUAL
2026-03-05T10:00:04.060628+00:00,2026-03-04,Chicago,KORD,46-47,BUY_YES,0.22000000000000003,5.0,0.0,,,{},46,WIN,17.7273,,2026-03-03T19:01:07.181808+00:00,TOP2_EQUAL
2026-03-05T10:00:04.060758+00:00,2026-03-04,Ankara,LTAC,10+,BUY_YES,0.05500000000000001,5.0,0.0,,,{},10,WIN,85.9091,,2026-03-03T19:01:07.183616+00:00,TOP2_EQUAL
2026-03-05T10:00:04.060869+00:00,2026-03-04,Seattle,KSEA,50-51,BUY_YES,0.15000000000000002,5.0,0.0,,,{},52,LOSS,-5.0,,2026-03-04T06:10:44.984340+00:00,TOP2_EQUAL
2026-03-05T10:00:04.060974+00:00,2026-03-04,NYC,KLGA,44-45,BUY_YES,0.1255,5.0,0.0,,,{},50,LOSS,-5.0,,2026-03-04T06:13:06.729582+00:00,TOP2_EQUAL
2026-03-05T10:00:04.061074+00:00,2026-03-04,Chicago,KORD,48-49,BUY_YES,0.11000000000000001,5.0,0.0,,,{},46,LOSS,-5.0,,2026-03-04T06:40:32.960496+00:00,TOP2_EQUAL
